CaseName,TotalRunningTime,RunningTime_1,RunningTime_2,RunningTime_3,RunningTime_4,RunningTime_5,RunningTime_6,DSC_AUC,NSD_AUC,DSC_Final,NSD_Final,DSC_1,DSC_2,DSC_3,DSC_4,DSC_5,DSC_6,NSD_1,NSD_2,NSD_3,NSD_4,NSD_5,NSD_6,modality,time_condition,spacing,shape,has_bbox,nb_classes
MR_BraTS-T2f_bratsgli_0360,2.4944710731506348,0.0,0.4705188274383545,0.4772794246673584,0.4860150814056396,0.527768611907959,0.5328891277313232,0.0288820369404773,0.0,0.0212137463714448,0.0,0.0,0.0191551567698356,0.0,0.0039957046175361,0.0047018807523009,0.0212137463714448,0.0,0.0,0.0,0.0,0.0,0.0,MR,True,[1. 1. 1.],"(83, 218, 182)",False,3
MR_BraTS-T2w_bratsgli_0959,2.374130249023437,0.0,0.4758946895599365,0.4643330574035644,0.4739511013031006,0.4815680980682373,0.4783833026885986,0.3456669742327379,0.0,0.1028578467602858,0.0,0.0,0.0623447803374154,0.0695320715036803,0.0954993675033911,0.0980342216768158,0.1028578467602858,0.0,0.0,0.0,0.0,0.0,0.0,MR,True,[1. 1. 1.],"(63, 218, 182)",False,3
MR_BraTS-T2f_bratsgli_0546,2.5191433429718018,0.0,0.4931244850158691,0.4916894435882568,0.5091924667358398,0.5199012756347656,0.5052356719970703,1.0985546157032815,0.9432055346249212,0.3070146721823755,0.2711678253408454,0.0,0.1261601085481682,0.2824192147081079,0.2911429022247935,0.3084051084051084,0.3070146721823755,0.0,0.0,0.2610980901945528,0.2730427044155656,0.27348082734438,0.2711678253408454,MR,True,[1. 1. 1.],"(59, 218, 182)",False,2
MR_Spider_167_t2_vet,19.457629203796387,3.250539779663086,3.265657901763916,3.300226211547852,3.277510166168213,3.136637926101685,3.227057218551636,2.9364281260016885,2.4444511786178125,0.7355849186680464,0.6132892461029366,0.7081362364362221,0.7333425177803028,0.7321925874855487,0.7345363644045821,0.7352354558873831,0.7355849186680464,0.6286700015869984,0.6099951500149235,0.6084026406273172,0.6116271978950102,0.612779142036555,0.6132892461029366,MR,False,[0.58698456 3.30697341 0.625     ],"(24, 478, 448)",True,7
CT_TotalSeg_muscles_s1315,20.868634462356567,3.431290626525879,3.3960883617401123,3.4504568576812744,3.50004243850708,3.562223434448242,3.5285327434539795,3.605935936829749,3.5495098350930148,0.9050223546300232,0.8958704515970144,0.8668476803189913,0.8926998367843806,0.8949100483301538,0.904871314012494,0.9072934787799,0.9050223546300232,0.8420866245436833,0.8745790008260932,0.8780308369522425,0.8902550071254949,0.8959992648037232,0.8958704515970144,CT,False,[1.5 1.5 1.5],"(58, 181, 181)",True,8
CT_LungMasks_LUNG1-123,10.759986162185667,1.797207593917847,1.842416524887085,1.755167007446289,1.6983506679534912,1.837357759475708,1.829486608505249,3.852335560671893,3.703637776079104,0.9630848041848644,0.9259150635380524,0.957120587681604,0.9626613431865207,0.963262956647849,0.9631261953301528,0.963073335008198,0.9630848041848644,0.8723930166929583,0.923154414982704,0.9268878558825032,0.9262786514874014,0.9259365294488208,0.9259150635380524,CT,False,[0.9765625 0.9765625 3.       ],"(81, 512, 512)",True,2
CT_LungLesions_lung_058,2.9950051307678223,0.4830217361450195,0.4876017570495605,0.4850766658782959,0.5302793979644775,0.5037944316864014,0.5052311420440674,3.049133039450841,3.858192562590388,0.7717842323651453,0.9781531111950024,0.7494707127734651,0.7573632538569425,0.7591036414565826,0.7599720083974808,0.7654836464857342,0.7717842323651453,0.958392374235692,0.959301042445872,0.9585995896206408,0.958602076473865,0.9722638196754456,0.9781531111950024,CT,True,[0.859375   0.859375   1.24481332],"(10, 512, 512)",True,1
MR_BraTS-T1c_bratsgli_0156,2.6832022666931152,0.0,0.5329477787017822,0.5283474922180176,0.5419559478759766,0.5300188064575195,0.5499322414398193,0.024221170442227,0.0,0.0051389757797837,0.0,0.0,0.0060460871549167,7.907638779060572e-05,0.0094923208191126,0.0090572417679735,0.0051389757797837,0.0,0.0,0.0,0.0,0.0,0.0,MR,True,[1. 1. 1.],"(75, 218, 182)",False,4
CT_TotalSeg_cardiac_s1258,32.088685035705566,5.236665725708008,5.524290084838867,5.321615934371948,5.23655366897583,5.318195581436157,5.451364040374756,3.503935306025016,3.605780763881726,0.8794683436060403,0.9035012244549792,0.848965298595148,0.8682196633405486,0.8745114951168095,0.8766510134874014,0.8789287939475112,0.8794683436060403,0.8629944493203774,0.893782515941026,0.9018501729561093,0.9017687210024992,0.9035199997251148,0.9035012244549792,CT,False,[1.5 1.5 1.5],"(122, 221, 221)",True,11
CT_TotalSeg_organs_s0140,14.334381580352783,2.3710198402404785,2.430461883544922,2.37882137298584,2.476618766784668,2.353306770324707,2.324152946472168,3.2166856643774624,3.3631322309380347,0.8323373303617199,0.8928339797250915,0.6896515088005809,0.7713721029511967,0.7933753505383356,0.8043647741093697,0.8170908230732985,0.8323373303617199,0.7099419908872383,0.791559954446858,0.826314248089106,0.8390188775514001,0.8556021382115538,0.8928339797250915,CT,False,[1.5 1.5 1.5],"(47, 196, 196)",True,5
MR_BraTS-T1c_bratsgli_0898,2.6054859161376958,0.0,0.5103251934051514,0.5196473598480225,0.4933032989501953,0.5564055442810059,0.5258045196533203,0.9506907171792603,0.7604634119878408,0.2580576276977393,0.2080293531435292,0.0,0.2242490913901382,0.2264708881411236,0.2279124745725438,0.255153994921654,0.2580576276977393,0.0,0.1770780785670142,0.1803744037582577,0.1713539264467672,0.2161813659275441,0.2080293531435292,MR,True,[1. 1. 1.],"(72, 218, 182)",False,2
CT_AbdTumor_case_00580,3.135666847229004,0.5160417556762695,0.5068051815032959,0.51448655128479,0.5233018398284912,0.5243875980377197,0.5506439208984375,3.5710680484190207,3.8752056172132,0.8943979027754032,0.9727288352539122,0.8806024409244352,0.8892305939973802,0.8910201518524862,0.893706852285046,0.8945267958950969,0.8943979027754032,0.9268924220337644,0.963712126968402,0.964354824270487,0.9703950118125833,0.9722353000189728,0.9727288352539122,CT,True,[0.71484375 0.71484375 2.19402981],"(13, 512, 512)",True,1
MR_BraTS-T1c_bratsgli_1203,2.561471462249756,0.0,0.4762954711914062,0.5069162845611572,0.4995183944702148,0.5273363590240479,0.5514049530029297,0.5301919782321745,0.0,0.1686191626409018,0.0,0.0,0.0686118923788424,0.1060221439304194,0.1465219787599635,0.1590323280319194,0.1686191626409018,0.0,0.0,0.0,0.0,0.0,0.0,MR,True,[1. 1. 1.],"(70, 218, 182)",False,3
CT_totalseg-vertebrae_s0703,64.82171845436096,10.813976287841797,10.973413467407228,11.108257055282593,10.540466785430908,10.667833805084229,10.717771053314207,2.757815454031604,2.7015355293617827,0.7032391781594249,0.6835716301923488,0.6171483972837228,0.676072642963225,0.6840253404934052,0.6888020157397181,0.6953321872371554,0.7032391781594249,0.6185685868575941,0.6606162510992168,0.6719333136476232,0.6761031778425138,0.6814050972258632,0.6835716301923488,CT,False,[1.5 1.5 1.5],"(402, 265, 265)",True,20
MR_BraTS-T1n_bratsgli_0508,2.38015365600586,0.0,0.4785566329956054,0.5008735656738281,0.4606709480285644,0.4660217761993408,0.4740307331085205,0.3062329095232438,0.0,0.0918668106341378,0.0,0.0,0.0665521127801489,0.0665485106626265,0.072856450831584,0.0876184863218898,0.0918668106341378,0.0,0.0,0.0,0.0,0.0,0.0,MR,True,[1. 1. 1.],"(55, 218, 182)",False,3
CT_TotalSeg_organs_s0592,73.1826400756836,11.586546659469604,11.821319818496704,12.114508152008057,12.797863245010376,12.236479759216309,12.625922441482544,1.5455600762447812,1.3092002447756017,0.4120701036581035,0.3495699343021178,0.2850522545508662,0.3524363997987194,0.3754519326757869,0.3877914821138882,0.4000634097266944,0.4120701036581035,0.2044639271051551,0.2877478393844835,0.3143660321454475,0.3338860917743944,0.3422892340124588,0.3495699343021178,CT,False,[1.5 1.5 1.5],"(361, 319, 319)",True,21
MR_BraTS-T1n_bratsgli_1082,2.5742087364196777,0.0,0.4958045482635498,0.5114743709564209,0.5442750453948975,0.5221502780914307,0.5005044937133789,0.0348633073592671,0.0,0.007460308534368,0.0,0.0,0.0124817731116943,0.0113592953777181,0.0,0.0135329711585177,0.007460308534368,0.0,0.0,0.0,0.0,0.0,0.0,MR,True,[1. 1. 1.],"(87, 218, 182)",False,3
MR_Spider_131_t1_spi,5.472273111343384,0.8336939811706543,0.9157681465148926,0.9110209941864014,0.9549229145050048,0.932744026184082,0.9241230487823486,1.161455564205416,1.9096509102904533,0.2816645772131055,0.4550194611393638,0.3307778466490501,0.3416142844737176,0.3256441268096023,0.3156325339423931,0.208539472610009,0.2816645772131055,0.538073731195677,0.5645722825706946,0.5304754169795871,0.4870747708537001,0.3823048506021367,0.4550194611393638,MR,True,[0.60604249 3.30353406 0.625     ],"(8, 463, 448)",True,1
CT_AbdTumor_pancreas_105,2.635128736495972,0.4397244453430176,0.4203877449035644,0.4340560436248779,0.4518544673919678,0.4371147155761719,0.451991319656372,2.9586346793784286,3.3940379335704183,0.8120150187734668,0.9280844612061824,0.5512779035910709,0.6292800296131779,0.6829366680112948,0.7641037848131397,0.7909467023606717,0.8120150187734668,0.6349183137580958,0.7233991053022263,0.7811073689341743,0.8812483842300755,0.905940397151964,0.9280844612061824,CT,True,[0.76953101 0.76953101 5.        ],"(3, 512, 512)",True,1
